Name(zh),Name(py),Name(en),WP(zh),WP(en)
麻婆豆腐,má​pó​dòu​fǔ​,Spicy minced pork with beancurd,http://zh.wikipedia.org/wiki/%E9%BA%BB%E5%A9%86%E8%B1%86%E8%85%90,http://en.wikipedia.org/wiki/Mapo_doufu
臭豆腐,chòu​dòu​fu​,Stinky preserved beancurd,http://zh.wikipedia.org/wiki/臭豆腐,http://en.wikipedia.org/wiki/Stinky_tofu

